r Fn10 Ft10 Fn15 Ft15 Fn24 Ft24
Fax    1025.90873915 1025.90873915 1724.67413131 1724.67413131 2054.65714213 2054.65714213
Torque 88.3638420426 88.3638420426 335.149573955 335.149573955 580.852453589 580.852453589
0.214106220579 6.4349272 -5.4251838 12.7880704 -6.98211868 29.570804 -9.78067294
0.226391820442 6.6770582 -5.92407654 13.1462466 -7.56428485 30.1206632 -10.5388763
0.246757882708 3.29558453 -3.14505886 6.39546841 -3.96709509 14.4219186 -5.47490362
0.275040432189 3.72122903 -3.79550701 7.08265319 -4.71989341 15.5631666 -6.42257266
0.311011754392 6.28359078 -4.52760737 11.6067889 -5.54006548 24.5297123 -7.3609951
0.354382230372 17.8238792 -6.3450592 32.6933887 -7.49219182 70.2203959 -9.88327683
0.404802666088 36.5251912 -0.619591756 57.6837059 -8.26600501 112.65539 -10.2353309
0.461867105131 48.9348005 1.59048768 90.2716725 11.2230051 139.873622 -5.67623646
0.525116099474 57.7770433 1.60095997 110.537935 15.9865878 162.572035 -6.55379384
0.594040401469 67.1280334 1.74014848 127.886388 18.5263445 179.392812 -7.13202139
0.66808507845 77.8734772 2.01439366 145.099467 20.9371928 201.933612 -8.14985516
0.746653964395 89.8125719 2.23703786 164.862034 22.3814698 227.041948 49.4807575
0.829114467705 103.753844 2.67284726 186.156751 24.2568629 253.205443 55.2858095
0.914802666068 118.627586 3.12274505 208.809139 26.1354406 274.854907 59.3536976
1.00302864699 133.624818 3.39928688 233.275045 27.9963439 297.274681 62.5200104
1.09308207266 153.099048 4.34551989 268.909884 31.669025 316.180908 61.9132619
1.18423787431 173.422677 5.44129379 305.655537 35.1036277 333.060893 58.4880701
1.2757621233 192.352308 6.15941839 336.441461 37.5829325 358.043144 57.3141321
1.36691793481 210.908328 6.69662489 363.487682 39.7110012 389.381317 59.6579723
1.45697134865 230.457826 7.50501303 390.08196 42.0708142 418.81584 63.3578523
1.54519732958 244.851397 8.14931039 411.406408 43.6137418 463.569069 75.3350062
1.63088553582 258.972177 9.21932567 431.506674 45.7426735 509.851132 90.5272595
1.71334603618 275.006968 10.3586994 452.450404 48.084207 547.566287 100.079129
1.79191492409 291.488007 11.1974575 473.298616 49.9175812 572.317196 103.712557
1.8659595991 306.396596 12.064341 491.486563 51.7089597 590.930846 106.070625
1.934883904 319.002693 12.8279381 506.088204 53.091082 604.678688 107.460152
1.99813289841 328.706739 13.4053716 516.12361 53.7889145 614.085937 107.945464
2.05519733552 334.639724 13.5856585 520.384195 53.2255342 620.410433 107.249147
2.10561776536 335.044408 13.0316946 516.304119 50.5324491 624.913706 103.987066
2.14898825019 326.162076 11.6841613 497.50746 45.5461522 614.793968 97.6113877
2.18495956541 302.079492 10.095633 455.087505 39.3108108 571.192845 87.159662
2.21324212076 254.364796 10.3940429 377.781006 35.8808013 457.751186 73.1883533
2.23360817717 187.226596 11.7671216 268.341892 34.1739936 297.101505 56.6533022
